Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A757259,Bentley,9/1/2017 7:57,9/1/2017 7:57,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
A757260,Grumpy Gus,9/1/2017 8:06,9/1/2017 8:06,Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Labrador Retriever Mix,Red/Tan
A757268,92,9/1/2017 8:08,9/1/2017 8:08,Outside Jurisdiction,Public Assist,Sick,Dog,Intact Female,8 years,Pit Bull Mix,White/Brown
A757270,,9/1/2017 9:49,9/1/2017 9:49,3129 E 12Th St in Austin (TX),Stray,Sick,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black
A757271,*Bruno,9/1/2017 10:24,9/1/2017 10:24,1211 Montopolis Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A757272,,9/1/2017 10:41,9/1/2017 10:41,8011 Beckett Rd in Austin (TX),Stray,Injured,Cat,Unknown,2 years,Domestic Longhair Mix,White/Brown
A757274,*Ella,9/1/2017 11:08,9/1/2017 11:08,5201 Purple Sage in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Staffordshire Mix,Blue/White
A757285,*Sampson,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
A757278,*Stella,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A757284,*Stewie,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby
A757277,*Sal,9/1/2017 11:17,9/1/2017 11:17,3100 Beverly in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A757279,*Crouton,9/1/2017 11:30,9/1/2017 11:30,Spicewood And Mesa in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Cattle Dog/Dalmatian,White/Black
A757280,,9/1/2017 11:46,9/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A757282,,9/1/2017 11:46,9/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A757281,,9/1/2017 11:46,9/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
A757283,,9/1/2017 12:02,9/1/2017 12:02,Stassney And South Congress in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,German Shepherd Mix,Brown/White
A756473,,9/1/2017 12:17,9/1/2017 12:17,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,2 months,Labrador Retriever/Doberman Pinsch,Tan
A757289,Hazel,9/1/2017 12:36,9/1/2017 12:36,200 San Jose Street in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Australian Terrier Mix,Red
A757288,,9/1/2017 12:36,9/1/2017 12:36,200 San Jose St in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Terrier Mix,Tan
A757291,Cato,9/1/2017 12:38,9/1/2017 12:38,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
A757290,Roxie,9/1/2017 12:38,9/1/2017 12:38,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie
A757298,*Tiger,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A757295,*Summer,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A757297,*Sarge,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A757293,*Golden,9/1/2017 12:58,9/1/2017 12:58,2614 East 2Nd Street in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Longhair Mix,Brown Tabby
A757292,Chloe,9/1/2017 13:03,9/1/2017 13:03,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,4 years,Dachshund Mix,Buff
A757294,*Chloe,9/1/2017 13:11,9/1/2017 13:11,2311 South 5Th Street in Austin (TX),Stray,Normal,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
A757296,Sylvester,9/1/2017 13:11,9/1/2017 13:11,2311 South 5Th Street in Austin (TX),Stray,Normal,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White
A757300,Fred,9/1/2017 13:23,9/1/2017 13:23,Springdale And Basswod Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,13 years,Lhasa Apso Mix,Black
A757302,,9/1/2017 13:35,9/1/2017 13:35,1308 March Drive in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A757303,,9/1/2017 13:35,9/1/2017 13:35,1308 March Drive in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A757305,,9/1/2017 13:35,9/1/2017 13:35,1308 March Drive in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Longhair Mix,Brown Tabby
A757307,,9/1/2017 14:08,9/1/2017 14:08,1405 Springdale Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A756921,Yoonior,9/1/2017 14:22,9/1/2017 14:22,1416 Edgewater in Travis (TX),Public Assist,Normal,Dog,Intact Male,11 months,Queensland Heeler/Labrador Retriever,Red Merle/White
A757310,*Sofia,9/1/2017 14:29,9/1/2017 14:29,1156 West Cesar Chavez in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A757379,R3,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Other,Intact Male,2 years,Rabbit Sh Mix,Black/White
A757361,34,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,2 years,Dachshund Longhair Mix,Black
A757360,33,9/1/2017 14:47,9/1/2017 14:47,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,2 years,Chihuahua Longhair Mix,Black/White
