Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count,Intakes within Radius
"5212 St Georges Green,Austin,TX",30.2159424,-97.79248,True,Dog,46.0,56.0
"14301 Varrelman St,Austin,TX",30.2380615,-97.58917749999999,True,Dog,0.0,19.0
"6807 Wentworth Dr,Austin,TX",30.2946387,-97.6299628,True,Dog,0.0,33.0
"8Th And Red River,Austin,TX",30.2683458,-97.7364784,True,Dog,7.0,76.0
"Rosewood Ave,Austin,TX",30.2702125,-97.71586260000001,True,Dog,2.0,75.0
"9502 S Chisholm Tr,Austin,TX",30.171947,-97.812928,True,Cat,8.0,38.0
"3839 Dry Creek Dr,Austin,TX",30.341902,-97.76564499999999,True,Dog,14.0,12.0
"6911 Wentworth Dr #D,Austin,TX",30.2953719,-97.628579,True,Dog,0.0,31.0
"12712 Rush Creek Lane,Travis,TX",30.3538825,-97.9069443,True,Other,2.0,2.0
"1412 Orange Spice Ct,Travis,TX",30.42500919999999,-97.6371973,True,Dog,1.0,15.0
"6407 Springdale Rd #2103,Austin,TX",30.305678,-97.66937800000001,True,Dog,1.0,57.0
"8105 Research Blvd,Austin,TX",30.3532802,-97.7117674,True,Dog,5.0,76.0
"11712 Lindeman Loop,Travis,TX",30.528745,-97.962487,True,Dog,0.0,4.0
"1000 Ellingson,Austin,TX",30.3036539,-97.71906740000001,True,Cat,14.0,37.0
"Ruby Ray St And Mckinney Falls Pkwy,Austin,TX",30.1646725,-97.7248374,True,Dog,0.0,14.0
"5701 Johnny Morris Rd,Austin,TX",30.2919175,-97.65322189999999,True,Dog,0.0,40.0
"7207 A Tumble Weed Dr,Austin,TX",30.3107941,-97.65394429999999,True,Dog,0.0,54.0
"4000 E 12Th Street,Austin,TX",30.27862,-97.690643,True,Dog,0.0,84.0
"2012 Wagon Crossing,Austin,TX",30.1938831,-97.7579513,True,Dog,3.0,95.0
"2607 Sol Wilson Ave,Austin,TX",30.2749428,-97.70505899999999,True,Dog,1.0,81.0
"4304 Hank Ave,Austin,TX",30.2257497,-97.7794231,True,Dog,61.0,60.0
"6001 Manchaca Rd,Austin,TX",30.2122202,-97.80153170000001,True,Dog,42.0,43.0
"19304 Blake Manor,Travis,TX",30.285126,-97.50906499999999,True,Dog,0.0,3.0
"19304 Blake Manor Road,Travis,TX",30.285126,-97.50906499999999,True,Dog,0.0,3.0
"1941 Gaston Place Dr #334,Austin,TX",30.3123465,-97.6891753,True,Dog,8.0,69.0
"6600 Elm Creek Ln Unit 81,Austin,TX",30.1873571,-97.76371110000001,True,Dog,2.0,86.0
"11150 Research Blvd,Austin,TX",30.4067937,-97.7466302,True,Dog,19.0,24.0
"1906 Millhouse Dr,Travis,TX",30.4089864,-97.6288142,True,Dog,0.0,14.0
"Bellflower,Austin,TX",30.4188079,-97.7768787,True,Cat,7.0,11.0
"5605 Tula Ln,Austin,TX",30.56217,-97.8530452,True,Dog,3.0,1.0
"1114 Christie Dr,Austin,TX",30.2684954,-97.6813033,True,Dog,1.0,76.0
"4502 Kind Way,Travis,TX",30.2373493,-97.5737781,True,Dog,0.0,16.0
"12034 Research Blvd,Austin,TX",30.4253743,-97.7528821,True,Dog,18.0,26.0
"4811 Alta Loma,Austin,TX",30.207624,-97.8571559,True,Cat,8.0,16.0
"8520 New Hampshire Blvd,Austin,TX",30.3588632,-97.7094848,True,Dog,5.0,84.0
"2800 Vernon Ave,Austin,TX",30.30942349999999,-97.6783878,True,Cat,2.0,65.0
"11401 Brenham St,Manor,TX",30.3382681,-97.56248149999999,True,Cat,1.0,11.0
"3459 Greystone Dr,Austin,TX",30.357693,-97.74911399999999,True,Cat,21.0,31.0
"23107 Fulkes Ln,Travis,TX",30.57675489999999,-97.95167400000001,True,Dog,0.0,2.0
"15104 Sabal Palm,Travis,TX",30.2569826,-97.5786633,True,Dog,0.0,21.0
"7601 Compass,Austin,TX",30.3100482,-97.64088450000001,True,Dog,0.0,38.0
"W Rundberg Ln And N Lamar Blvd,Austin,TX",30.363062,-97.6970274,True,Dog,2.0,86.0
"910 Gullett St,Austin,TX",30.2596716,-97.69495339999999,True,Dog,2.0,60.0
"23300 Windy Valley Dr,Leander,TX",30.576674,-97.954724,True,Dog,0.0,2.0
"7502 Compass Drive,Austin,TX",30.3078967,-97.6403248,True,Cat,0.0,39.0
"14016 Denny Ln,Travis,TX",30.4103489,-97.6276887,True,Dog,0.0,14.0
"13355 N Us 183,Austin,TX",30.4482221,-97.78489019999999,True,Cat,8.0,39.0
"Manchaca Rd,Austin,TX",30.19350859999999,-97.8114781,True,Dog,6.0,38.0
"307 Swanee Dr,Austin,TX",30.3344194,-97.7138525,True,Dog,5.0,56.0
"Born In Shelter,Austin,TX",30.296387,-97.68995500000001,True,Cat,4.0,46.0
"1071 Clayton #1533,Austin,TX",34.5333894,-112.2902081,True,Dog,0.0,1.0
"7516 Tumbleweed Dr,Austin,TX",30.3145521,-97.65197099999999,True,Dog,0.0,50.0
"2312 E 10Th St,Austin,TX",30.2650479,-97.7165637,True,Cat,2.0,81.0
"4411 Dovewood,Austin,TX",30.1886754,-97.75222,True,Dog,2.0,105.0
"See Note,Austin,TX",30.220684,-97.765091,True,Cat,15.0,56.0
"8013 Tee Dr,Austin,TX",30.1576957,-97.74883120000001,True,Dog,0.0,37.0
"500 Bastrop Hwy,Austin,TX",30.2366007,-97.68804460000001,True,Dog,1.0,52.0
"403 Buttercup Creek,Cedar Park,TX",30.5033838,-97.82475799999999,True,Cat,8.0,2.0
"3522 River Rd,Travis,TX",30.1993249,-97.5103717,True,Cat,0.0,2.0
"3416 River Rd,Travis,TX",30.4426948,-98.0817007,True,Dog,0.0,2.0
"1206 Woodfield Dr,Austin,TX",30.3643507,-97.7076898,True,Cat,6.0,78.0
"424 Bayridge,Austin,TX",30.414405,-97.6638182,True,Cat,4.0,17.0
"4003 Praire Ln,Austin,TX",30.473035,-97.68267399999999,True,Dog,5.0,14.0
"6704 Ripple Run,Austin,TX",30.1811864,-97.7535362,True,Dog,2.0,81.0
"5701 Johnny Morris,Austin,TX",30.2919175,-97.65322189999999,True,Dog,0.0,40.0
"1914 Gracy Farms Ln B,Austin,TX",30.3981065,-97.703147,True,Dog,17.0,35.0
"1127 Christie,Austin,TX",30.269043,-97.68039069999999,True,Dog,1.0,74.0
"7501 Us 290,Austin,TX",30.2285221,-97.88076819999999,True,Dog,5.0,27.0
"301 W 38Th,Austin,TX",30.3011749,-97.7356029,True,Dog,21.0,36.0
"2113 Boyds Way,Austin,TX",30.1607989,-97.83502539999999,True,Dog,6.0,29.0
"2404 Marcus Abrams Blvd,Austin,TX",30.15360699999999,-97.84086359999999,True,Dog,3.0,26.0
"312 Saxon,Austin,TX",30.2394284,-97.69046519999999,True,Dog,1.0,55.0
"3612 Claburn Dr,Austin,TX",30.3736913,-97.7438282,True,Cat,15.0,25.0
"416 Baldridge,Austin,TX",30.1786956,-97.79218519999999,True,Cat,4.0,39.0
"12405 St Mary Dr,Travis,TX",30.3420177,-97.53077940000001,True,Dog,1.0,10.0
"14951 Swiss Dr,Travis,TX",30.1266243,-97.6138629,True,Dog,0.0,9.0
"2124 Burton Dr,Austin,TX",30.2319111,-97.73390429999999,True,Cat,2.0,100.0
"3200 Northeast Dr,Austin,TX",30.3101869,-97.6723356,True,Dog,2.0,59.0
"2301 Coronado,Austin,TX",30.262244,-97.7153843,True,Dog,2.0,77.0
"501 Havana Street,Austin,TX",30.232864,-97.76322929999999,True,Dog,23.0,57.0
"1633 Royal Crest Dr,Austin,TX",30.2389724,-97.73013949999999,True,Dog,4.0,110.0
