Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count
"12034 Research Boulevard,Austin,TX",30.4253743,-97.7528821,False,Dog,14
"7211 Ritchie,Austin,TX",30.3042416,-97.63879569999999,False,Dog,0
"900 Thompson Street,Austin,TX",30.27016919999999,-97.7084696,False,Dog,0
"26Th Street And Rio Grande,Austin,TX",30.29066439999999,-97.74440539999999,False,Dog,4
"Wally Ave,Austin,TX",30.281282,-97.6843536,False,Dog,0
"7806 South 1St Street,Austin,TX",30.1847224,-97.7924888,False,Dog,1
"5309 Spring Meadow Rd,Austin,TX",30.1961603,-97.7357265,False,Cat,1
"4602 East Stassney Lane,Austin,TX",30.1941649,-97.74496859999999,False,Dog,1
"1016 Camino La Costa,Austin,TX",30.3267578,-97.70125920000001,False,Cat,1
"12362 Ballerstedt Road,Travis,TX",30.3383544,-97.47164160000001,False,Other,0
"12Th Street And Chicon,Austin,TX",30.2737572,-97.719895,False,Dog,1
"11904 Garden Gate,Austin,TX",30.2255352,-97.6276266,False,Cat,0
"East Cesar Chavez And Willow Street,Austin,TX",30.2583991,-97.73089680000001,False,Dog,2
"12221 North Mopac Express Way,Austin,TX",30.3785391,-97.7363927,False,Dog,3
"1104 Tillery,Austin,TX",30.26492,-97.7029847,False,Dog,0
"Laurelleaf Drive And Black Willow Street,Pflugerville,TX",30.4585807,-97.6326086,False,Dog,4
"2301 Quicksilver,Austin,TX",30.1765229,-97.76659389999999,False,Cat,1
"Airport,Austin,TX",30.194085,-97.67108859999999,False,Dog,0
"18701 Rivertimber Drive,Del Valle,TX",30.213251,-97.52256799999999,False,Dog,0
"Pendernales St And  Santa Rita,Austin,TX",30.256419,-97.7158,False,Dog,1
"Airport Blvd And Shady Lane,Austin,TX",30.2593335,-97.69363360000001,False,Dog,1
"6000 E Us 290 Hwy,Austin,TX",30.236452,-97.8515741,False,Dog,3
"2901 South Capital Of Texas Highway,Austin,TX",30.2573391,-97.8071884,True,Dog,1
"4812 Eastdale Dr,Austin,TX",30.2877132,-97.6699403,False,Dog,0
"1550 Royal Crest Dr,Austin,TX",30.2405681,-97.7303609,False,Dog,2
"443 Mesa Drive,Del Valle,TX",30.1135264,-97.5805171,False,Cat,0
"10401 North Lamar,Austin,TX",30.3719105,-97.690151,False,Cat,1
"6810 Willamette Drive,Austin,TX",30.3163258,-97.6745899,False,Cat,1
"Comal And East 4Th Street,Austin,TX",30.2611925,-97.7274185,False,Dog,2
"7610 Cameron Road,Austin,TX",30.331529,-97.688755,False,Cat,5
"739 West William Cannon Drive,Austin,TX",30.1977965,-97.7899425,False,Cat,1
"1400 Dominique Drive,Austin,TX",30.3831256,-97.6588544,False,Dog,1
"15033 Donna Jane Loop,Pflugerville,TX",30.4382378,-97.656346,False,Dog,3
"912 Cherico Street,Austin,TX",30.262896,-97.70200709999999,False,Cat,1
"5400 Montview,Austin,TX",30.3282236,-97.7415279,False,Dog,4
"East Braker Lane And Pollyanna Avenue,Austin,TX",30.3771803,-97.6767411,False,Dog,1
"Bee Cave Road And Montebello,Austin,TX",30.270648,-97.791134,False,Dog,3
"7601 Daffan Lane,Austin,TX",30.3163875,-97.6245196,False,Cat,0
"1308 Muirfield Bend Dr,Travis,TX",30.4983476,-97.58397649999999,False,Dog,1
"928 East 54Th,Austin,TX",30.3143049,-97.71082679999999,False,Cat,4
"7610 Cameron Rd,Austin,TX",30.331529,-97.688755,False,Cat,5
"2307 D Rachael Court,Austin,TX",30.1773698,-97.8280636,False,Cat,5
"12821 Stoney Ridge Bend,Del Valle,TX",30.15919359999999,-97.63465090000001,False,Dog,0
"6315 Ken Caryl Dr,Austin,TX",30.1579051,-97.7431622,False,Dog,0
"Springdale And 12Th Street,Austin,TX",30.2789614,-97.6870409,False,Dog,0
"4714 Nuckols Crossing,Austin,TX",30.1976963,-97.7367505,False,Cat,1
"South First And Dittmar,Austin,TX",30.1838742,-97.79268479999999,False,Dog,1
"4821 East River Drive,Austin,TX",30.3747931,-97.8540826,False,Other,0
"2711 E 22Nd St,Austin,TX",30.283736,-97.71298139999999,False,Other,1
"Hwy 130 And Hwy 183,Travis,TX",30.0503501,-97.69102409999999,True,Dog,0
"4434 Frontier Trl,Austin,TX",30.2314364,-97.7957763,False,Dog,36
"6900 Wentworth Dr,Austin,TX",30.2952646,-97.6300996,False,Dog,0
"Slaughter And Manchaca,Austin,TX",30.175408,-97.82506599999999,False,Dog,5
"1211 East 52Nd Street,Austin,TX",30.308719,-97.706919,False,Cat,5
"Mearns Meadow And Boyer,Austin,TX",30.3832681,-97.71136109999999,False,Dog,1
"8005 Brockman,Austin,TX",30.3580563,-97.7289835,False,Cat,3
"Highway 71 And Ross Road,Austin,TX",30.1862016,-97.60952619999999,False,Dog,0
"Salt Springs And Asa Drive,Austin,TX",30.1655347,-97.7416149,False,Dog,0
"9201 Circuits Of America,Austin,TX",30.1345808,-97.6358511,False,Dog,0
"907 Shelley Ave,Austin,TX",30.2758875,-97.75576249999999,False,Other,14
"12251 Running Bird Ln,Austin,TX",30.4087335,-97.6920652,False,Other,17
"1701 Brazos St,Austin,TX",30.2783562,-97.7374907,False,Other,5
"Highway 290 And Harris Branch,Austin,TX",30.2649227,-97.73501300000001,False,Dog,2
"Fm 1626 And Bliss Spillar,Austin,TX",30.1346217,-97.85305,False,Dog,0
"9010 Norht Ih-35,Austin,TX",30.3554018,-97.6907327,False,Cat,2
"Riverside And Willow Creek,Austin,TX",30.23767999999999,-97.725752,False,Dog,2
"611 Carpenter Avenue,Austin,TX",30.35733,-97.69916070000001,False,Cat,1
"Boyce Lane And Kelton,Austin,TX",30.3644259,-97.6120962,False,Dog,0
"1631 E 2Nd St,Austin,TX",30.2586489,-97.7276143,False,Cat,2
"Homestead Village Circle And Avery Ranch,Austin,TX",30.4956347,-97.7959008,False,Dog,1
"East William Cannon Drive And Mckinney Falls Parkway,Austin,TX",30.1632324,-97.72589339999999,False,Dog,0
"900 Barton Springs Rd,Austin,TX",30.2606481,-97.75290160000002,False,Other,2
"Caldwell Lane And Albert Brown Drive,Del Valle,TX",30.18728,-97.5562801,False,Cat,0
"1515 Wickersham Lane,Austin,TX",30.2349921,-97.7182435,False,Cat,2
"200 Lavaca St,Austin,TX",30.2655492,-97.7466255,False,Other,4
"3402 Neal St,Austin,TX",30.2645028,-97.70039480000001,False,Dog,1
"1708 Garden,Austin,TX",30.2549688,-97.7270391,False,Cat,2
"Airport And Manor Road,Austin,TX",30.2862723,-97.70649039999999,False,Dog,0
"Silvia Drive And Ann Showers,Travis,TX",30.2703255,-97.4719298,False,Cat,0
"8107 Tuscaroa Trail,Austin,TX",30.44144,-97.7695317,False,Dog,4
"11906 Bronco Circle,Austin,TX",30.06294,-97.704257,False,Dog,0
"12609 Lexington St,Travis,TX",30.3489422,-97.555871,False,Dog,1
"Liberty Hill Tx,Williamson,TX",30.6649119,-97.9225161,False,Dog,1
"13119 Dessau Rd,Austin,TX",30.399958,-97.63882900000002,False,Cat,1
"5134 East Highway 71,Travis,TX",30.1864963,-97.5599427,False,Dog,0
"8700 Brodie Lane,Austin,TX",30.19721299999999,-97.84128199999999,False,Cat,5
"6300 South Congress,Austin,TX",30.1982993,-97.77705069999999,False,Dog,2
"7404 Wildcat Pass,Austin,TX",30.3425212,-97.7204773,False,Dog,3
"183 And Lakecreek,Austin,TX",30.47934339999999,-97.8032995,False,Dog,5
"6815 Montana Street,Austin,TX",30.2298851,-97.692959,False,Cat,0
"2301 East St Elmo Road,Austin,TX",30.2026242,-97.74593689999999,False,Dog,0
"Jacks Pass,Travis,TX",30.3749478,-97.919534,True,Dog,0
"12009 Buckingham Gate Rd,Austin,TX",30.1532345,-97.8527474,False,Dog,0
"Emerald Forest Drive And Austin Highlands,Austin,TX",30.2018139,-97.7927764,False,Dog,4
"Northeast And Manor Road,Austin,TX",30.3085332,-97.6707603,False,Dog,0
"40 N Ih 35,Austin,TX",30.2553327,-97.7371805,False,Other,1
"12117 Manchaca,Travis,TX",30.1410223,-97.83302119999999,False,Dog,3
"Manchaca Road  And Glen Allen Street,Austin,TX",30.2408735,-97.78219999999999,False,Dog,40
"2323 Wells Branch Parkway,Austin,TX",30.43954,-97.687057,False,Dog,0
"20409 Crooked Stick,Pflugerville,TX",30.4816434,-97.5709612,False,Cat,0
"Grove Blvd & Hogan Avenue,Austin,TX",33.3603323,-86.85109659999999,False,Dog,1
"Fm 2222 And River Place Blouevard,Austin,TX",30.3417978,-97.6706414,False,Dog,3
"9400 Petrichor,Manor,TX",30.2976809,-97.5538371,False,Cat,0
"305 E Yager,Austin,TX",30.39466209999999,-97.6679024,True,Cat,2
"2000 S Ih 35,Austin,TX",30.2373884,-97.7397817,True,Dog,2
"18208 Great Falls Dr,Manor,TX",30.3213537,-97.5295249,False,Cat,0
"7610  Cameron,Austin,TX",30.331529,-97.688755,False,Cat,5
"South Oltorf And Durwood Street,Austin,TX",30.2413254,-97.7579667,False,Dog,10
"5209 Coppermead Lane,Austin,TX",30.3325907,-97.64639179999999,False,Cat,0
"6117 Ponca Street,Austin,TX",30.2381639,-97.6969864,False,Dog,0
"Jollyville Road And Pavillion Boulevard,Austin,TX",30.4241813,-97.7569247,False,Dog,14
"Dove Spring Park,Austin,TX",30.1858719,-97.73759629999999,False,Dog,1
"15416 Sarahs Creek Drive,Pflugerville,TX",30.445641,-97.6582026,False,Dog,3
"Manchaca Rd And East William Cannon,Austin,TX",30.202829,-97.80688339999999,False,Cat,4
"4535 Texas 71,Del Valle,TX",30.1870347,-97.60636749999999,False,Dog,0
"Highway 71 And Terry Lane,Austin,TX",30.2065839,-97.6458839,False,Dog,0
"Highway 183 And Burleson Road,Austin,TX",30.1828424,-97.68748400000001,False,Cat,0
"2425 Ashdale Drive,Austin,TX",30.3589148,-97.7318954,False,Cat,8
"900 Broken Feather Trail,Pflugerville,TX",30.4362622,-97.64014309999999,False,Dog,2
"3456 North Hills Drive,Austin,TX",30.3495464,-97.75332209999999,False,Cat,15
"East Martin Luther King Boulevard And Poquito Street,Austin,TX",30.2799397,-97.7202221,False,Cat,1
"500 East 7Th Street,Austin,TX",30.2679088,-97.73749319999999,False,Dog,3
"1840 Burton Drive,Austin,TX",30.235465,-97.72979199999999,False,Cat,2
"3003 Catalina Drive,Austin,TX",30.2225622,-97.7361708,False,Cat,2
"12424 Research,Austin,TX",30.4276659,-97.75850109999999,True,Dog,14
"6001 Westcreek Dr,Austin,TX",30.2317997,-97.8455255,False,Other,4
